age_start,age_end,pop,deaths,country
0,1,2013918,15999,USA
1,4,8251240,3147,USA
5,9,10716132,2038,USA
10,14,10508545,2636,USA
15,19,10125080,9689,USA
20,24,9445868,12925,USA
25,29,9523566,13103,USA
30,34,10369215,16614,USA
35,39,11693917,24546,USA
40,44,11610655,34954,USA
45,49,10217141,46352,USA
50,54,8788131,57258,USA
55,59,6703231,68492,USA
60,64,5236404,83251,USA
65,69,4431410,109481,USA
70,74,3927827,149380,USA
75,79,3059825,174445,USA
80,84,1835304,170574,USA
85,89,836256,123366,USA
90,94,283429,64618,USA
95,99,68046,23344,USA
100,150,10131,5092,USA
0,1,663372,12385,Russia
1,4,2590910,3164,Russia
5,9,4097544,2927,Russia
10,14,6005263,4329,Russia
15,19,6038019,12970,Russia
20,24,5473320,25624,Russia
25,29,5202029,28178,Russia
30,34,4814711,32515,Russia
35,39,5763178,49815,Russia
40,44,6159502,72972,Russia
45,49,5465569,91164,Russia
50,54,4136186,94838,Russia
55,59,2381040,77317,Russia
60,64,3632257,158980,Russia
65,69,2298646,139858,Russia
70,74,2052215,165752,Russia
75,79,766968,79786,Russia
80,84,328666,50247,Russia
85,89,195330,42578,Russia
90,94,54121,16280,Russia
95,99,10004,4202,Russia
100,150,1235,667,Russia
